no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,loan_to_income_ratio,total_assets,asset_to_loan_ratio,cibil_category
4,0,1,2900000,9400000,14,780,2900000,2800000,6700000,4300000,1,3.2413793103448274,16700000,1.7765957446808511,2
2,1,0,2700000,10300000,10,736,1000000,0,6200000,3300000,1,3.814814814814815,10500000,1.0194174757281553,2
5,1,0,6300000,14600000,12,652,10300000,3500000,23500000,5900000,1,2.3174603174603177,43200000,2.958904109589041,1
2,1,0,5000000,19400000,12,315,9500000,1600000,18000000,6100000,0,3.88,35200000,1.8144329896907216,0
4,1,0,5800000,14000000,16,530,3800000,11300000,22200000,5400000,0,2.413793103448276,42700000,3.05,1
4,1,1,6500000,25700000,18,311,13100000,1700000,19500000,8500000,0,3.953846153846154,42800000,1.6653696498054475,0
0,0,1,500000,1400000,2,551,900000,600000,1100000,300000,1,2.8,2900000,2.0714285714285716,1
0,0,0,4900000,9800000,16,324,3800000,8700000,10000000,3300000,0,2.0,25800000,2.63265306122449,0
5,0,0,3100000,9500000,20,514,7900000,3100000,6600000,2600000,0,3.064516129032258,20200000,2.126315789473684,1
4,1,0,8200000,28100000,12,696,11500000,10600000,25300000,7200000,1,3.426829268292683,54600000,1.9430604982206405,1
4,0,1,2400000,5600000,4,662,4500000,4200000,5400000,2500000,1,2.3333333333333335,16600000,2.9642857142857144,1
5,0,1,7000000,24000000,6,336,2300000,11900000,27500000,9700000,0,3.4285714285714284,51400000,2.1416666666666666,0
3,0,1,9000000,31500000,10,850,21800000,12400000,33700000,8000000,1,3.5,75900000,2.4095238095238094,2
2,0,0,9800000,25300000,12,313,20200000,5200000,25500000,9300000,0,2.5816326530612246,60200000,2.3794466403162056,0
2,1,0,5700000,12000000,6,363,3600000,7400000,21700000,4300000,0,2.1052631578947367,37000000,3.0833333333333335,0
1,0,1,800000,1600000,10,436,700000,200000,2200000,1000000,0,2.0,4100000,2.5625,0
5,0,1,8400000,22000000,2,830,3800000,3900000,19900000,5400000,1,2.619047619047619,33000000,1.5,2
3,1,0,4900000,11900000,8,612,9700000,1200000,19000000,5800000,1,2.4285714285714284,35700000,3.0,1
2,1,1,1700000,3400000,8,691,2700000,2800000,6000000,900000,1,2.0,12400000,3.6470588235294117,1
3,0,0,1600000,6200000,18,636,3400000,700000,5300000,1400000,1,3.875,10800000,1.7419354838709677,1
5,1,1,8000000,27200000,6,348,6400000,300000,16700000,7100000,0,3.4,30500000,1.1213235294117647,0
5,1,0,3600000,7700000,16,830,7000000,1300000,10000000,2900000,1,2.138888888888889,21200000,2.7532467532467533,2
3,0,1,1500000,5100000,6,352,100000,200000,5600000,900000,0,3.4,6800000,1.3333333333333333,0
1,1,0,7800000,18100000,2,712,8600000,11200000,21700000,9000000,1,2.3205128205128207,50500000,2.7900552486187844,2
2,0,0,9100000,24900000,16,822,22300000,12100000,31000000,5200000,1,2.7362637362637363,70600000,2.8353413654618476,2
3,1,0,1400000,3400000,6,540,200000,1500000,3900000,800000,0,2.4285714285714284,6400000,1.8823529411764706,1
2,1,1,800000,2300000,12,342,2200000,1300000,1800000,800000,0,2.875,6100000,2.652173913043478,0
5,1,0,6500000,13400000,18,787,18200000,300000,16200000,5400000,1,2.0615384615384613,40100000,2.9925373134328357,2
4,1,0,8000000,27800000,16,331,13000000,6300000,21400000,10900000,0,3.475,51600000,1.856115107913669,0
3,0,1,4200000,14600000,6,679,2400000,6900000,8700000,4900000,1,3.4761904761904763,22900000,1.5684931506849316,1
1,1,1,4900000,19100000,14,677,5400000,9100000,17700000,6500000,1,3.8979591836734695,38700000,2.026178010471204,1
3,0,0,5500000,20500000,12,634,800000,8600000,18500000,8200000,1,3.727272727272727,36100000,1.7609756097560976,1
1,0,1,9500000,19100000,16,662,100000,10500000,37700000,11700000,1,2.0105263157894737,60000000,3.141361256544503,1
4,1,0,7300000,25400000,16,502,500000,1800000,20500000,10500000,0,3.4794520547945207,33300000,1.311023622047244,1
2,1,0,8700000,24700000,10,435,6800000,3500000,21800000,11300000,0,2.839080459770115,43400000,1.757085020242915,0
5,0,0,3800000,7600000,4,689,8700000,100000,9300000,3400000,1,2.0,21500000,2.8289473684210527,1
1,0,1,8400000,23000000,12,657,15400000,14800000,31900000,8200000,1,2.738095238095238,70300000,3.0565217391304347,1
2,1,1,5100000,19700000,20,590,7400000,9300000,19400000,3400000,1,3.8627450980392157,39500000,2.00507614213198,1
5,0,0,6700000,24500000,12,818,1200000,5600000,16300000,6200000,1,3.656716417910448,29300000,1.1959183673469387,2
2,0,0,4300000,10600000,18,431,2100000,1500000,9300000,5200000,0,2.4651162790697674,18100000,1.7075471698113207,0
5,1,1,9300000,30500000,18,841,19300000,10300000,34600000,8700000,1,3.2795698924731185,72900000,2.3901639344262295,2
1,1,0,7400000,18400000,20,421,18500000,9100000,17500000,4100000,0,2.4864864864864864,49200000,2.6739130434782608,0
4,0,1,5500000,18200000,16,797,0,4900000,18600000,4800000,1,3.309090909090909,28300000,1.554945054945055,2
2,0,0,8500000,18900000,18,478,23800000,16300000,25900000,11400000,0,2.223529411764706,77400000,4.095238095238095,0
3,0,1,9600000,30500000,18,669,4700000,1900000,26500000,9300000,1,3.1770833333333335,42400000,1.3901639344262295,1
5,0,1,8800000,28900000,6,365,24400000,8600000,27400000,4700000,0,3.284090909090909,65100000,2.2525951557093427,0
3,0,1,3300000,7500000,20,586,1600000,5600000,10500000,2900000,1,2.272727272727273,20600000,2.7466666666666666,1
4,1,1,3900000,12300000,18,784,7600000,6900000,13100000,2800000,1,3.1538461538461537,30400000,2.4715447154471546,2
1,1,0,4100000,10300000,12,364,9500000,6100000,14900000,2800000,0,2.5121951219512195,33300000,3.233009708737864,0
3,0,0,8300000,29100000,10,715,6100000,11900000,24100000,11900000,1,3.5060240963855422,54000000,1.8556701030927836,2
0,0,1,2700000,10100000,20,693,200000,1700000,5900000,1400000,0,3.740740740740741,9200000,0.9108910891089109,1
4,1,0,5600000,12400000,4,777,5500000,3100000,11800000,5500000,1,2.2142857142857144,25900000,2.088709677419355,2
0,1,0,1900000,5000000,12,312,4000000,2800000,4900000,2400000,0,2.6315789473684212,14100000,2.82,0
4,0,1,500000,1500000,20,340,100000,200000,1900000,600000,0,3.0,2800000,1.8666666666666667,0
5,1,1,5300000,18600000,4,386,2700000,9700000,11900000,4200000,1,3.509433962264151,28500000,1.532258064516129,0
5,0,0,7000000,18300000,4,418,18400000,11700000,21500000,7600000,0,2.6142857142857143,59200000,3.2349726775956285,0
3,0,1,5800000,16700000,16,735,3900000,9400000,12600000,5600000,1,2.8793103448275863,31500000,1.8862275449101797,2
2,0,0,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0,3.230769230769231,17900000,2.130952380952381,0
2,0,0,1900000,6500000,18,671,600000,2500000,4800000,1100000,1,3.4210526315789473,9000000,1.3846153846153846,1
4,1,0,5700000,14800000,16,697,14300000,7800000,12900000,6300000,1,2.5964912280701755,41300000,2.7905405405405403,1
0,1,0,9000000,33500000,8,801,11600000,8900000,35400000,11100000,1,3.7222222222222223,67000000,2.0,2
2,0,0,8500000,29400000,12,576,17600000,5600000,25200000,9000000,1,3.458823529411765,57400000,1.9523809523809523,1
0,0,0,700000,1400000,14,639,1900000,700000,2400000,900000,1,2.0,5900000,4.214285714285714,1
4,1,0,3500000,8900000,4,470,1300000,2200000,12300000,2000000,0,2.5428571428571427,17800000,2.0,0
0,0,0,8800000,31200000,4,826,2900000,500000,33300000,8600000,1,3.5454545454545454,45300000,1.4519230769230769,2
2,0,1,9900000,21200000,16,363,25500000,11400000,26600000,6800000,0,2.1414141414141414,70300000,3.3160377358490565,0
3,1,0,3600000,8600000,20,613,9400000,300000,10300000,3300000,1,2.388888888888889,23300000,2.7093023255813953,1
3,0,1,3000000,8200000,16,713,5300000,5800000,11000000,3400000,1,2.7333333333333334,25500000,3.1097560975609757,2
2,1,0,6800000,21200000,16,439,17100000,4700000,23300000,3600000,0,3.1176470588235294,48700000,2.297169811320755,0
5,0,1,1100000,3800000,18,387,1300000,1200000,3800000,1600000,0,3.4545454545454546,7900000,2.0789473684210527,0
1,0,1,8700000,28300000,8,402,20400000,13600000,27900000,10200000,0,3.2528735632183907,72100000,2.547703180212014,0
4,1,1,2000000,8000000,6,837,5100000,2600000,3900000,2900000,1,4.0,14500000,1.8125,2
2,0,0,9800000,37600000,10,641,24100000,0,23400000,7600000,1,3.836734693877551,55100000,1.4654255319148937,1
4,1,0,5700000,21100000,18,489,500000,4300000,12500000,6000000,0,3.7017543859649122,23300000,1.1042654028436019,0
4,1,0,8800000,20700000,18,540,19200000,3200000,22400000,12700000,0,2.352272727272727,57500000,2.7777777777777777,1
4,1,0,3800000,8900000,4,844,9100000,3500000,13100000,4700000,1,2.3421052631578947,30400000,3.4157303370786516,2
1,1,0,1700000,6400000,10,452,900000,1100000,5600000,2100000,0,3.764705882352941,9700000,1.515625,0
2,1,0,1000000,2000000,10,366,1200000,400000,3200000,1300000,0,2.0,6100000,3.05,0
5,1,0,300000,1100000,2,300,100000,500000,700000,400000,1,3.6666666666666665,1700000,1.5454545454545454,0
2,1,1,6600000,15000000,18,470,1200000,4800000,18200000,7000000,0,2.272727272727273,31200000,2.08,0
2,0,0,8700000,25000000,20,861,14700000,8500000,23200000,7300000,1,2.8735632183908044,53700000,2.148,2
4,1,0,9400000,29400000,12,562,25900000,15200000,36400000,7100000,1,3.127659574468085,84600000,2.877551020408163,1
0,1,0,4400000,10800000,14,463,2400000,4800000,13800000,4700000,0,2.4545454545454546,25700000,2.3796296296296298,0
4,0,0,400000,900000,12,478,700000,100000,1200000,100000,0,2.25,2100000,2.3333333333333335,0
2,0,1,300000,1100000,2,702,300000,200000,500000,200000,1,3.6666666666666665,1200000,1.0909090909090908,2
2,0,1,4300000,12900000,20,618,11400000,3600000,11400000,2400000,1,3.0,28800000,2.2325581395348837,1
4,1,0,1600000,4500000,12,633,700000,1700000,4100000,1900000,1,2.8125,8400000,1.8666666666666667,1
5,0,1,6200000,23600000,10,331,18500000,10300000,23800000,8700000,0,3.806451612903226,61300000,2.597457627118644,0
3,0,1,4200000,9700000,16,841,7800000,300000,16700000,5100000,1,2.3095238095238093,29900000,3.082474226804124,2
4,0,1,9000000,18100000,12,764,600000,16500000,20800000,11600000,1,2.011111111111111,49500000,2.734806629834254,2
0,1,0,2700000,10600000,6,591,1300000,2700000,9900000,1800000,1,3.925925925925926,15700000,1.4811320754716981,1
1,1,1,9700000,35900000,2,719,19600000,7600000,20400000,10900000,1,3.7010309278350517,58500000,1.6295264623955432,2
2,1,0,3300000,6800000,14,317,3400000,300000,11700000,3600000,0,2.0606060606060606,19000000,2.7941176470588234,0
0,0,0,300000,1100000,8,778,800000,200000,900000,100000,1,3.6666666666666665,2000000,1.8181818181818181,2
3,1,1,7400000,18200000,14,302,5600000,3100000,17900000,5000000,0,2.4594594594594597,31600000,1.7362637362637363,0
5,0,0,7100000,19700000,8,502,7300000,5600000,25300000,9800000,0,2.7746478873239435,48000000,2.436548223350254,1
5,0,1,7300000,22100000,18,879,19500000,10600000,19300000,9800000,1,3.0273972602739727,59200000,2.678733031674208,2
1,0,0,8400000,23400000,14,437,15400000,5800000,33400000,8100000,0,2.7857142857142856,62700000,2.6794871794871793,0
0,0,1,3300000,10800000,12,797,600000,6000000,7700000,3300000,1,3.272727272727273,17600000,1.6296296296296295,2
4,0,1,5800000,23200000,18,456,16100000,4200000,22600000,7500000,0,4.0,50400000,2.1724137931034484,0
0,0,0,600000,1600000,6,647,1500000,600000,1500000,700000,1,2.6666666666666665,4300000,2.6875,1
0,0,0,7200000,15800000,12,379,12700000,12200000,21500000,3600000,0,2.1944444444444446,50000000,3.1645569620253164,0
1,0,1,9100000,32900000,2,717,2200000,2000000,23600000,5900000,1,3.6153846153846154,33700000,1.0243161094224924,2
5,1,0,900000,2300000,16,545,100000,200000,2700000,800000,0,2.5555555555555554,3800000,1.6521739130434783,1
2,1,0,800000,3200000,8,317,300000,1000000,2000000,900000,0,4.0,4200000,1.3125,0
1,0,0,8500000,32900000,10,570,5100000,6200000,20500000,5500000,1,3.8705882352941177,37300000,1.1337386018237081,1
0,0,1,9000000,18700000,18,865,26800000,0,20900000,11300000,1,2.077777777777778,59000000,3.1550802139037435,2
3,1,0,7000000,19500000,14,719,12200000,10300000,18200000,10200000,1,2.7857142857142856,50900000,2.6102564102564103,2
3,1,0,200000,600000,16,821,400000,100000,500000,100000,1,3.0,1100000,1.8333333333333333,2
4,0,1,400000,800000,10,859,900000,500000,800000,200000,1,2.0,2400000,3.0,2
3,0,0,5100000,18200000,10,395,100000,8000000,15500000,6300000,0,3.5686274509803924,29900000,1.6428571428571428,0
2,0,1,700000,2600000,12,429,1600000,1300000,2700000,800000,0,3.7142857142857144,6400000,2.4615384615384617,0
3,1,0,400000,1200000,12,861,200000,600000,1100000,200000,1,3.0,2100000,1.75,2
0,0,1,9500000,20800000,14,565,15100000,11900000,33900000,13400000,1,2.1894736842105265,74300000,3.5721153846153846,1
5,1,0,8800000,22600000,10,357,7900000,8600000,18200000,4900000,0,2.5681818181818183,39600000,1.752212389380531,0
3,0,1,1800000,3600000,18,465,600000,500000,5400000,2600000,0,2.0,9100000,2.5277777777777777,0
4,0,1,6800000,13900000,8,479,11700000,9100000,25700000,9600000,0,2.0441176470588234,56100000,4.0359712230215825,0
3,0,0,1500000,5500000,16,717,2100000,800000,4400000,1300000,1,3.6666666666666665,8600000,1.5636363636363637,2
3,1,0,1600000,5500000,12,425,600000,800000,5400000,900000,0,3.4375,7700000,1.4,0
2,0,0,4600000,16700000,2,786,200000,5900000,13900000,6100000,1,3.630434782608696,26100000,1.562874251497006,2
5,0,1,2200000,6700000,6,382,4400000,1300000,8600000,1100000,0,3.0454545454545454,15400000,2.298507462686567,0
3,0,1,2900000,8500000,12,564,1000000,3100000,7500000,1800000,1,2.9310344827586206,13400000,1.576470588235294,1
0,1,0,200000,700000,8,501,500000,200000,700000,100000,0,3.5,1500000,2.142857142857143,1
2,0,1,2500000,9400000,10,727,6600000,4100000,9500000,3300000,1,3.76,23500000,2.5,2
4,0,0,3600000,7500000,6,894,1100000,6500000,7400000,2800000,1,2.0833333333333335,17800000,2.3733333333333335,2
0,1,1,5500000,16700000,18,829,5500000,1300000,12800000,5900000,1,3.036363636363636,25500000,1.526946107784431,2
4,0,0,6600000,17400000,20,506,2600000,10000000,25900000,7200000,0,2.6363636363636362,45700000,2.6264367816091956,1
2,1,1,8600000,32100000,6,802,9400000,16700000,24500000,9800000,1,3.7325581395348837,60400000,1.881619937694704,2
5,0,0,600000,1500000,14,543,300000,900000,2100000,300000,0,2.5,3600000,2.4,1
3,1,1,1400000,3200000,20,772,2400000,900000,5100000,1600000,1,2.2857142857142856,10000000,3.125,2
3,1,0,4000000,11100000,12,572,9700000,100000,12500000,2400000,1,2.775,24700000,2.225225225225225,1
0,0,1,4900000,11900000,16,709,14600000,900000,18500000,3800000,1,2.4285714285714284,37800000,3.176470588235294,2
5,1,0,2000000,6200000,18,402,4000000,2100000,7200000,1100000,0,3.1,14400000,2.3225806451612905,0
1,0,1,5200000,19300000,8,481,14300000,9500000,18800000,4200000,0,3.7115384615384617,46800000,2.4248704663212437,0
5,1,1,8900000,28800000,6,772,13600000,5500000,20400000,8400000,1,3.235955056179775,47900000,1.6631944444444444,2
1,1,1,6500000,20600000,2,306,15900000,1900000,18100000,3200000,1,3.169230769230769,39100000,1.8980582524271845,0
2,0,0,1300000,4500000,6,415,0,900000,2900000,1200000,0,3.4615384615384617,5000000,1.1111111111111112,0
3,0,0,9400000,35000000,16,548,18200000,4400000,36100000,4800000,0,3.723404255319149,63500000,1.8142857142857143,1
5,0,0,5000000,11200000,8,701,9100000,500000,14000000,4600000,1,2.24,28200000,2.517857142857143,2
2,1,0,3000000,7700000,12,890,4700000,4300000,8400000,2100000,1,2.566666666666667,19500000,2.5324675324675323,2
5,0,1,9900000,33300000,6,364,5300000,18700000,27800000,8300000,0,3.3636363636363638,60100000,1.8048048048048049,0
5,1,1,700000,1300000,20,704,1600000,0,2200000,600000,1,1.8571428571428572,4400000,3.3846153846153846,2
3,1,1,4000000,10600000,10,318,1500000,5100000,8000000,4900000,0,2.65,19500000,1.8396226415094339,0
5,0,0,3100000,9600000,2,761,5800000,1800000,10400000,4200000,1,3.096774193548387,22200000,2.3125,2
4,0,0,4500000,15100000,6,693,3700000,1500000,17800000,6000000,1,3.3555555555555556,29000000,1.9205298013245033,1
3,0,0,9700000,20600000,16,524,24200000,11100000,27400000,6100000,0,2.1237113402061856,68800000,3.3398058252427183,1
2,0,1,2000000,5300000,10,681,4900000,1400000,4300000,2900000,1,2.65,13500000,2.547169811320755,1
2,1,1,8100000,22300000,18,737,22300000,12600000,27000000,7300000,1,2.753086419753086,69200000,3.103139013452915,2
0,0,0,5700000,15900000,16,638,100000,9500000,16300000,4500000,1,2.789473684210526,30400000,1.9119496855345912,1
4,0,0,5800000,12800000,2,656,500000,5000000,16000000,2800000,1,2.206896551724138,24300000,1.8984375,1
1,1,0,1800000,6500000,6,540,2500000,3200000,5000000,1100000,0,3.611111111111111,11800000,1.8153846153846154,1
4,0,1,9100000,35200000,6,341,1000000,300000,23100000,8200000,0,3.868131868131868,32600000,0.9261363636363636,0
0,0,1,4800000,17500000,2,371,11700000,6800000,18700000,3500000,1,3.6458333333333335,40700000,2.3257142857142856,0
3,0,1,3800000,10500000,12,886,4000000,500000,14900000,2300000,1,2.763157894736842,21700000,2.066666666666667,2
0,0,0,1900000,4100000,18,801,400000,800000,4800000,1200000,1,2.1578947368421053,7200000,1.7560975609756098,2
3,0,1,3600000,9500000,16,748,7700000,2400000,9700000,2600000,1,2.638888888888889,22400000,2.357894736842105,2
2,0,1,7400000,28200000,8,376,21900000,5000000,17400000,5200000,0,3.810810810810811,49500000,1.7553191489361701,0
4,0,1,6600000,14300000,8,371,10800000,9500000,18500000,7400000,0,2.1666666666666665,46200000,3.230769230769231,0
2,1,0,1800000,5300000,6,826,4500000,700000,6500000,1300000,1,2.9444444444444446,13000000,2.452830188679245,2
4,0,0,9200000,27200000,12,873,4500000,1800000,33800000,11400000,1,2.9565217391304346,51500000,1.8933823529411764,2
5,0,1,2400000,8600000,8,309,500000,600000,5700000,2800000,0,3.5833333333333335,9600000,1.1162790697674418,0
4,0,0,5600000,13300000,20,869,3300000,7500000,20000000,6500000,1,2.375,37300000,2.8045112781954886,2
5,1,0,3800000,13900000,12,534,4700000,2900000,8200000,2800000,0,3.6578947368421053,18600000,1.3381294964028776,1
3,0,1,4500000,17900000,6,787,9800000,3600000,14300000,4200000,1,3.977777777777778,31900000,1.782122905027933,2
0,1,1,900000,2200000,16,566,100000,700000,2000000,600000,1,2.4444444444444446,3400000,1.5454545454545454,1
0,0,0,2800000,9900000,8,742,4900000,1300000,6700000,1700000,1,3.5357142857142856,14600000,1.4747474747474747,2
2,0,0,7500000,23100000,4,824,12100000,10900000,26300000,9500000,1,3.08,58800000,2.5454545454545454,2
4,1,0,1400000,3100000,14,575,3000000,2100000,4900000,1400000,1,2.2142857142857144,11400000,3.6774193548387095,1
2,1,1,3800000,10900000,10,766,1900000,3900000,8600000,3000000,1,2.8684210526315788,17400000,1.5963302752293578,2
1,0,1,1700000,5000000,10,888,2900000,900000,4100000,2200000,1,2.9411764705882355,10100000,2.02,2
3,1,1,9000000,30400000,6,638,16800000,11000000,26900000,9200000,1,3.3777777777777778,63900000,2.101973684210526,1
5,0,1,7300000,23300000,6,622,7100000,11600000,26400000,10500000,1,3.191780821917808,55600000,2.3862660944206007,1
1,0,0,7400000,19800000,18,458,12600000,6200000,27700000,4000000,0,2.675675675675676,50500000,2.5505050505050506,0
1,0,0,9000000,28200000,16,327,1700000,2300000,24000000,11200000,0,3.1333333333333333,39200000,1.3900709219858156,0
0,0,0,3000000,6500000,2,612,8800000,3400000,6700000,1700000,1,2.1666666666666665,20600000,3.169230769230769,1
1,1,0,800000,2900000,8,682,2200000,1100000,2900000,700000,1,3.625,6900000,2.3793103448275863,1
2,1,0,4800000,13200000,2,583,13700000,5800000,9500000,5200000,1,2.75,34200000,2.590909090909091,1
5,0,0,6400000,18300000,8,697,10000000,3600000,22500000,3600000,1,2.859375,39700000,2.169398907103825,1
3,1,0,9200000,27100000,12,306,5800000,11500000,28000000,9600000,0,2.9456521739130435,54900000,2.025830258302583,0
4,0,1,400000,1500000,2,669,0,600000,900000,500000,1,3.75,2000000,1.3333333333333333,1
2,0,0,2800000,6000000,18,816,6300000,4200000,8000000,3400000,1,2.142857142857143,21900000,3.65,2
4,0,1,8500000,28900000,20,455,15200000,5800000,22500000,9400000,0,3.4,52900000,1.8304498269896194,0
3,1,1,4700000,16400000,10,318,11400000,8100000,16200000,4300000,0,3.4893617021276597,40000000,2.4390243902439024,0
4,0,1,9800000,21200000,20,355,22000000,8900000,31800000,14400000,0,2.163265306122449,77100000,3.6367924528301887,0
2,0,1,3800000,8900000,16,389,200000,5600000,12200000,2200000,0,2.3421052631578947,20200000,2.269662921348315,0
2,1,0,500000,1500000,2,888,1500000,300000,1500000,600000,1,3.0,3900000,2.6,2
2,1,1,6900000,15600000,6,352,13000000,5300000,22600000,10000000,0,2.260869565217391,50900000,3.2628205128205128,0
4,0,1,9600000,30100000,12,870,300000,6700000,38200000,5600000,1,3.1354166666666665,50800000,1.6877076411960132,2
3,0,0,2900000,6500000,18,827,8300000,600000,10400000,3200000,1,2.2413793103448274,22500000,3.4615384615384617,2
2,1,0,9800000,20900000,12,768,3400000,10200000,38600000,13400000,1,2.13265306122449,65600000,3.138755980861244,2
0,1,0,7100000,15400000,18,707,10300000,10800000,19600000,5800000,1,2.1690140845070425,46500000,3.0194805194805197,2
1,0,1,7700000,19100000,10,355,11300000,4900000,21900000,6600000,0,2.4805194805194803,44700000,2.3403141361256545,0
3,1,0,1400000,3300000,2,652,100000,2100000,3500000,1900000,1,2.357142857142857,7600000,2.303030303030303,1
3,1,0,7800000,15900000,2,665,14400000,900000,27200000,5400000,1,2.0384615384615383,47900000,3.0125786163522013,1
5,0,1,1700000,6000000,18,420,500000,1600000,3700000,2300000,0,3.5294117647058822,8100000,1.35,0
2,0,0,8500000,32700000,18,471,12600000,9400000,33900000,12500000,0,3.847058823529412,68400000,2.091743119266055,0
5,0,0,1900000,7500000,20,715,5100000,2800000,6500000,2800000,1,3.9473684210526314,17200000,2.2933333333333334,2
2,0,1,6700000,15200000,10,689,0,8200000,15000000,6800000,1,2.2686567164179103,30000000,1.9736842105263157,1
3,1,1,6900000,16400000,4,787,11100000,6100000,26400000,3800000,1,2.3768115942028984,47400000,2.8902439024390243,2
2,1,0,2600000,7800000,4,819,3100000,4300000,5700000,1500000,1,3.0,14600000,1.8717948717948718,2
4,1,1,9600000,21100000,6,809,16100000,9500000,34700000,8700000,1,2.1979166666666665,69000000,3.2701421800947865,2
1,0,1,6800000,17000000,2,744,15500000,3900000,23700000,3500000,1,2.5,46600000,2.7411764705882353,2
0,0,0,3200000,11300000,6,484,3500000,5500000,8500000,2100000,0,3.53125,19600000,1.7345132743362832,0
4,0,0,2900000,10400000,6,673,5100000,1700000,10600000,1700000,1,3.586206896551724,19100000,1.8365384615384615,1
3,1,1,7900000,21200000,18,695,13800000,10600000,21800000,4900000,1,2.6835443037974684,51100000,2.410377358490566,1
4,0,1,3900000,12400000,12,473,6400000,4700000,13100000,3800000,0,3.1794871794871793,28000000,2.2580645161290325,0
4,1,1,4600000,11000000,2,491,9000000,4000000,16100000,3500000,0,2.391304347826087,32600000,2.963636363636364,0
3,0,1,700000,1700000,8,733,1200000,800000,2400000,500000,1,2.4285714285714284,4900000,2.8823529411764706,2
0,0,0,5200000,15600000,20,434,14100000,5800000,18100000,5500000,0,3.0,43500000,2.7884615384615383,0
3,0,1,5900000,20600000,10,777,1900000,4600000,21200000,6400000,1,3.4915254237288136,34100000,1.6553398058252426,2
4,1,0,7200000,19100000,4,774,9400000,7000000,17900000,3600000,1,2.6527777777777777,37900000,1.9842931937172774,2
1,0,1,8700000,27000000,10,717,25500000,8600000,17500000,9100000,1,3.103448275862069,60700000,2.248148148148148,2
3,0,1,1100000,3500000,12,503,3000000,400000,2200000,1200000,0,3.1818181818181817,6800000,1.9428571428571428,1
1,1,1,4000000,10900000,14,598,3600000,6600000,13600000,4400000,1,2.725,28200000,2.5871559633027523,1
2,1,0,9800000,32400000,2,543,24200000,17500000,25700000,7700000,1,3.306122448979592,75100000,2.317901234567901,1
0,0,1,2700000,6800000,20,796,700000,4200000,7000000,1900000,1,2.5185185185185186,13800000,2.0294117647058822,2
3,0,1,8800000,34600000,8,386,14800000,16500000,18400000,6000000,0,3.9318181818181817,55700000,1.6098265895953756,0
5,0,1,3300000,7800000,16,632,8500000,500000,7100000,4900000,1,2.3636363636363638,21000000,2.6923076923076925,1
1,1,1,6900000,23400000,4,481,18700000,1100000,23400000,10200000,1,3.391304347826087,53400000,2.282051282051282,0
3,1,1,900000,3500000,4,770,700000,0,2000000,600000,0,3.888888888888889,3300000,0.9428571428571428,2
3,1,1,4100000,15500000,6,667,2800000,1600000,14700000,4000000,1,3.7804878048780486,23100000,1.4903225806451612,1
3,0,1,4700000,17500000,8,585,1200000,3100000,9600000,4900000,1,3.723404255319149,18800000,1.0742857142857143,1
5,1,1,3400000,11600000,16,479,9200000,5700000,11200000,2400000,0,3.411764705882353,28500000,2.456896551724138,0
2,1,0,9600000,22500000,18,851,7400000,16200000,24300000,12700000,1,2.34375,60600000,2.6933333333333334,2
